wbid,wbtype,uid,batch
4169685417072345,comment,2459004422,1
4169685417072345,comment,5755704032,1
4169685417072345,comment,3714339447,1
4169685417072345,comment,5208871771,1
4169685417072345,comment,1881432013,1
4169685417072345,comment,2139271835,1
4169685417072345,comment,2147457735,1
4169685417072345,comment,5482210323,1
4169685417072345,comment,1075528911,1
4169685417072345,comment,5992798082,1
4169685417072345,comment,5794097432,1
4169685417072345,comment,5597537628,1
4169685417072345,comment,2551966454,1
4169685417072345,comment,6119605928,1
4169685417072345,comment,6382623663,1
4169685417072345,comment,6171787889,1
4169685417072345,comment,2454552317,1
4169685417072345,comment,2218731062,1
4169685417072345,comment,2616741613,1
4169685417072345,comment,6313888440,1
4169685417072345,comment,2282469167,1
4169685417072345,comment,1659408733,1
4169685417072345,comment,2918554130,1
4169685417072345,comment,5314754090,1
4169685417072345,comment,2187957292,1
4169685417072345,comment,5993636770,1
4169685417072345,comment,6406650221,1
4169685417072345,comment,1879297574,1
4169685417072345,comment,2872388904,1
4169685417072345,comment,1729955885,1
4169685417072345,comment,6383395926,1
4182696823493360,comment,1919292262,1
4182696823493360,comment,2802817292,1
4182696823493360,comment,6067469502,1
4182696823493360,comment,1760808680,1
4182696823493360,comment,2689089392,1
4182696823493360,comment,5542106522,1
4182696823493360,comment,5171067679,1
4182696823493360,comment,3964030163,1
4182696823493360,comment,3964030163,1
4182696823493360,comment,5546562263,1
4182696823493360,comment,2971487470,1
4182696823493360,comment,3165439013,1
4182696823493360,comment,5987432572,1
4182696823493360,comment,3287132153,1
4182696823493360,comment,2813979072,1
4182696823493360,comment,5869771231,1
4182696823493360,comment,6274269004,1
4182696823493360,comment,6085529656,1
4182696823493360,comment,2813979072,1
4182696823493360,comment,1458556857,1
4182696823493360,comment,5482210323,1
4182696823493360,comment,2683468644,1
4182696823493360,comment,5452113319,1
4182696823493360,comment,5272531913,1
4182696823493360,comment,2872388904,1
4182696823493360,comment,6119605928,1
4182696823493360,comment,2971487470,1
4182696823493360,comment,6100808982,1
4182696823493360,comment,2147457735,1
4182696823493360,comment,5217901262,1
4182696823493360,comment,2683468644,1
4182696823493360,comment,1626912380,1
4182696823493360,comment,1641553083,1
4182696823493360,comment,1585694003,1
4182696823493360,comment,1626912380,1
4182696823493360,comment,2683468644,1
4182696823493360,comment,5973046905,1
4182696823493360,comment,2005265401,1
4182696823493360,comment,2139271835,1
4182696823493360,comment,2834773785,1
4182696823493360,comment,2282469167,1
4182696823493360,comment,5160148264,1
4182696823493360,comment,1919292262,1
4182696823493360,comment,5734384979,1
4182696823493360,comment,1596959122,1
4182696823493360,comment,1626912380,1
4182696823493360,comment,5100982662,1
4182696823493360,comment,2139271835,1
4187533624057903,comment,5653095038,1
4187533624057903,comment,2279863734,1
4187533624057903,comment,5393832367,1
4187533624057903,comment,5694661396,1
4187533624057903,comment,5360947143,1
4187533624057903,comment,5226209256,1
4187533624057903,comment,5974658643,1
4187533624057903,comment,1075528911,1
4187533624057903,comment,2327759621,1
4187533624057903,comment,5652070441,1
4187533624057903,comment,2139271835,1
4187533624057903,comment,5521719539,1
4187533624057903,comment,6071107816,1
4187533624057903,comment,6085529656,1
4187533624057903,comment,5482210323,1
4187533624057903,comment,6316530413,1
4187533624057903,comment,2881730202,1
4187533624057903,comment,2187957292,1
4187533624057903,comment,5694339496,1
4187533624057903,comment,6379375255,1
4187533624057903,comment,5992798082,1
4187533624057903,comment,1626912380,1
4187533624057903,comment,5611150947,1
4187533624057903,comment,1348463244,1
4173693477522171,comment,2980082000,1
4173693477522171,comment,2147457735,1
4173693477522171,comment,5635761612,1
4173693477522171,comment,6098466744,1
4173693477522171,comment,1570093081,1
4173693477522171,comment,2532655064,1
4173693477522171,comment,2187957292,1
4173693477522171,comment,6119605928,1
4173693477522171,comment,1879297574,1
4173693477522171,comment,1891833407,1
4173693477522171,comment,3944018578,1
4173693477522171,comment,5409881067,1
4173693477522171,comment,6011203752,1
4173693477522171,comment,3173872645,1
4173693477522171,comment,5936776531,1
4173693477522171,comment,3288028260,1
4173693477522171,comment,1791224165,1
4173265264053723,comment,3630726847,1
4173265264053723,comment,5519077355,1
4173265264053723,comment,2147457735,1
4167121330446394,comment,2297560864,1
4167121330446394,comment,3511021034,1
4167121330446394,comment,5594044276,1
4167121330446394,comment,6275332683,1
4167121330446394,comment,6052051357,1
4167121330446394,comment,3208257632,1
4167121330446394,comment,2479263815,1
4167121330446394,comment,1770651552,1
4167121330446394,comment,2187957292,1
4167121330446394,comment,5611150947,1
4167121330446394,comment,5734384979,1
4167121330446394,comment,5993636770,1
4167121330446394,comment,2986129765,1
4167121330446394,comment,6327310466,1
4167121330446394,comment,1902831331,1
4167121330446394,comment,6092538613,1
4167121330446394,comment,2803035884,1
4167121330446394,comment,2218731062,1
4167121330446394,comment,1836553622,1
4167121330446394,comment,1308956152,1
4167121330446394,comment,6284271158,1
4167121330446394,comment,5744843617,1
4167121330446394,comment,5460903210,1
4167121330446394,comment,6067469502,1
4167121330446394,comment,5160148264,1
4167121330446394,comment,2139271835,1
4167121330446394,comment,2616741613,1
4167121330446394,comment,1570093081,1
4167121330446394,comment,6072659924,1
4167121330446394,comment,2101914774,1
4167121330446394,comment,6119605928,1
4167121330446394,comment,5899887324,1
4167121330446394,comment,3006482807,1
4167121330446394,comment,6104013436,1
4167121330446394,comment,5393832367,1
4167121330446394,comment,3208257632,1
4167121330446394,comment,5208871771,1
4167121330446394,comment,3195888434,1
4167121330446394,comment,5935899604,1
4167121330446394,comment,2532655064,1
4167121330446394,comment,2875418612,1
4167121330446394,comment,3288028260,1
4167121330446394,comment,1659408733,1
4167121330446394,comment,5641425056,1
4167121330446394,comment,5324058034,1
4167121330446394,comment,5039823611,1
4167121330446394,comment,6048670337,1
4167121330446394,comment,2826048213,1
4167121330446394,comment,2834773785,1
4167121330446394,comment,2918554130,1
4167121330446394,comment,3964030163,1
4167121330446394,comment,1960877207,1
4167121330446394,comment,1953804403,1
4176933782956157,comment,2656131481,1
4176933782956157,comment,1604506737,1
4176933782956157,comment,6085529656,1
4176933782956157,comment,3018581901,1
4176933782956157,comment,2218731062,1
4176933782956157,comment,2279238270,1
4176933782956157,comment,1879297574,1
4176933782956157,comment,6119605928,1
4176933782956157,comment,5601979577,1
4180844719146478,comment,6375577404,1
4180844719146478,comment,3195888434,1
4180844719146478,comment,2656131481,1
4180844719146478,comment,5316227235,1
4180844719146478,comment,2282469167,1
4180844719146478,comment,6323138405,1
4180844719146478,comment,5160148264,1
4180844719146478,comment,2139271835,1
4180844719146478,comment,5360947143,1
4180844719146478,comment,5951817854,1
4180844719146478,comment,5735027036,1
4180844719146478,comment,3018581901,1
4180844719146478,comment,3163296011,1
4180844719146478,comment,6116588847,1
4180844719146478,comment,5580191972,1
4180844719146478,comment,6119605928,1
4180844719146478,comment,3200568325,1
4180844719146478,comment,6056617225,1
4180844719146478,comment,6067469502,1
4180844719146478,comment,2147457735,1
4180844719146478,comment,2218731062,1
4180844719146478,comment,6321942618,1
4180844719146478,comment,5514173370,1
4180844719146478,comment,6034219807,1
4180844719146478,comment,5665555154,1
4180844719146478,comment,3288028260,1
4180844719146478,comment,2058799112,1
4180844719146478,comment,5523489433,1
4180844719146478,comment,1879297574,1
4180844719146478,comment,6230579153,1
4180844719146478,comment,5663526789,1
4185640268764452,comment,2986129765,1
4185640268764452,comment,5036510986,1
4185640268764452,comment,5494813206,1
4185640268764452,comment,5349264830,1
4185640268764452,comment,6198022674,1
4185640268764452,comment,1837159124,1
4185640268764452,comment,2166170150,1
4185640268764452,comment,3200568325,1
4185640268764452,comment,3018581901,1
4185640268764452,comment,3169955443,1
4181664919237135,comment,5885593590,1
4181664919237135,comment,5718551262,1
4181664919237135,comment,5993636770,1
