wbid,uid,batch
4145989012653195,1082124703,2
4137659813323562,1082124703,2
4164710049295701,1140919270,2
4190981165242384,1140919270,2
4173678180262705,1140919270,2
4182324386644483,1140919270,2
4170422129453022,1140919270,2
4191466794275639,1140919270,2
4163170694398178,1140919270,2
4165057644759601,1140919270,2
4157803385548020,1140919270,2
4162707332350134,1140919270,2
4164158716578971,1140919270,2
4189960250794245,1140919270,2
4170822320946388,1140919270,2
4170133142934629,1140919270,2
4181750550861681,1140919270,2
4172676953896327,1140919270,2
4165056813433101,1140919270,2
4180514606426164,1140919270,2
4169745043020925,1140919270,2
4165771329813573,1140919270,2
4186799364204895,1140919270,2
4163987706620772,1140919270,2
4163474181013691,1140919270,2
4185343392142205,1140919270,2
4190954329871939,1140919270,2
4187144848874816,1140919270,2
4184221092251002,1140919270,2
4163059981050368,1140919270,2
4191333922377499,1140919270,2
4162543964032040,1140919270,2
4160666799074298,1140919270,2
4161905100273732,1140919270,2
4158760307641013,1140919270,2
4164316439665787,1140919270,2
4165356123599516,1140919270,2
4187028927084138,1140919270,2
4178707922362237,1140919270,2
4188592429454291,1140919270,2
4164913654187119,1140919270,2
4199435649399396,1140919270,2
4157798830616819,1140919270,2
4186434695138946,1140919270,2
4197663555660696,1140919270,2
4188959258621189,1140919270,2
4184932244766330,1140919270,2
4190423586862734,1140919270,2
4159892858839150,1140919270,2
4162089927252951,1140919270,2
4175942458409767,1140919270,2
4186335109081082,1140919270,2
4192106086354766,1140919270,2
4183139188545696,1140919270,2
4175507249341324,1140919270,2
4195891126333793,1140919270,2
4175094878237350,1140919270,2
4164274505121054,1140919270,2
4167899683385557,1140919270,2
4163456959433385,1140919270,2
4179429410609051,1140919270,2
4175795276749633,1140919270,2
4165709439126579,1140919270,2
4163969059633357,1140919270,2
4163245180807642,1140919270,2
4172253950515061,1140919270,2
4162802971572178,1140919270,2
4180825006821075,1140919270,2
4195898482896108,1140919270,2
4162013192198204,1140919270,2
4162772792847520,1140919270,2
4166118715380320,1140919270,2
4164228136352178,1140919270,2
4163237521918925,1140919270,2
4166066915022789,1220407074,2
4189667597060989,1220407074,2
4199294841982407,1220407074,2
4172511694222976,1220407074,2
4172141325428177,1220407074,2
4177250830704189,1220407074,2
4181921963683545,1220407074,2
4171094941918005,1220407074,2
4179092632279371,1220407074,2
4197566373216080,1220407074,2
4175176202156848,1220407074,2
4167234106421686,1220407074,2
4164176316549328,1220407074,2
4198434476999673,1220407074,2
4173765077741717,1220407074,2
4198790078273320,1220407074,2
4196196987382948,1220407074,2
4199083206388951,1220407074,2
4182277241482400,1220407074,2
4202348417374563,1220407074,2
4193137558032820,1220407074,2
4169414905081640,1220407074,2
4167990741571256,1220407074,2
4172683757333936,1220407074,2
4162741382665346,1220407074,2
4192136746909867,1220407074,2
4202757730089261,1220407074,2
4194339791716327,1220407074,2
4158034210758968,1220407074,2
4165226130172833,1220407074,2
4168963895884419,1220407074,2
4171607184286726,1220407074,2
4160274476796588,1220407074,2
4193132146984509,1220407074,2
4202597700884875,1220407074,2
4167587459570847,1220407074,2
4188415907543764,1220407074,2
4193159242390294,1220407074,2
4180487742438972,1220407074,2
4190635344375043,1220407074,2
