wbid,uid,batch
4169685417072345,1626912380,1
4182696823493360,1626912380,1
4187533624057903,1626912380,1
4173693477522171,1626912380,1
4173265264053723,1626912380,1
4167121330446394,1626912380,1
4176933782956157,1626912380,1
4180844719146478,1626912380,1
4185640268764452,1626912380,1
4181664919237135,1626912380,1
4197989159348331,1626912380,1
4183378091785687,1626912380,1
4173602381286280,1626912380,1
4181578735626250,1626912380,1
4167896470612393,1626912380,1
4171185308275471,1626912380,1
4182391138548203,1626912380,1
4182672261419336,1626912380,1
4188219757607215,1626912380,1
4199866236258252,1626912380,1
4190689488583567,1626912380,1
4165047209338655,1626912380,1
4189032324217792,1626912380,1
4165136149352771,1626912380,1
4163284137379536,1626912380,1
4166179666819807,1626912380,1
4161148347583471,1626912380,1
4171897476571435,1626912380,1
4162861972130073,1626912380,1
4179054116062777,1626912380,1
4201236205223487,1626912380,1
4197389973725876,1626912380,1
4183040491932647,1626912380,1
4186638323871556,1626912380,1
4178532542001546,1626912380,1
4178860293716100,1626912380,1
4194733864128514,1626912380,1
4159571859640694,1626912380,1
4168966877921037,1626912380,1
4167083744532755,1626912380,1
4192974696984998,1626912380,1
4201952034778658,1626912380,1
4168899459000163,1626912380,1
4164002839418207,1626912380,1
4161336415532753,1626912380,1
4183503115147345,1626912380,1
4177803072968880,1626912380,1
4172878066307343,1626912380,1
4179196256962851,1626912380,1
4171954192364934,1626912380,1
4162356991449615,1626912380,1
4174897611350660,1626912380,1
4160985234718240,1626912380,1
4161737332553655,1626912380,1
4168546319295222,1626912380,1
4192663630726390,1626912380,1
4195768522987885,1626912380,1
4158363237377126,1626912380,1
4191720637860637,1626912380,1
4186368156021623,1626912380,1
4188451957983281,1626912380,1
4185334999220589,1626912380,1
4159328170119528,1626912380,1
4159938303244300,1626912380,1
4176877264826321,1626912380,1
4196646999011179,1626912380,1
4187028419290243,1626912380,1
4177602044066856,1626912380,1
4163244367414347,1626912380,1
4191357453278672,1626912380,1
4174750559397386,1626912380,1
4168553218807453,1626912380,1
4186691105353271,1626912380,1
4171445699502379,1626912380,1
4188849258645977,1626912380,1
4162014642960692,1626912380,1
4185781158945247,1626912380,1
4203043475700243,1626912380,1
4159178795186077,1626912380,1
4178330900746381,1626912380,1
4185059290753129,1626912380,1
4194822954639659,1626912380,1
4197218376051400,1626912380,1
4178349091481684,1626912380,1
4159222272574878,1626912380,1
4198382450957414,1626912380,1
4163896519022704,1626912380,1
4176533536824061,1626912380,1
4174857086187310,1878650541,1
4158061813565908,1878650541,1
4164452897179126,1878650541,1
4180548747983909,1878650541,1
4163446972550050,1878650541,1
4176483083162887,1878650541,1
4173409204347332,1878650541,1
4194390463962151,1878650541,1
4198255208660438,1878650541,1
4163818647645327,1878650541,1
4179207078787573,1878650541,1
4159633516378591,1878650541,1
4177027550655668,1878650541,1
4159134519169969,1878650541,1
4177564417435379,1878650541,1
4187638610895631,1878650541,1
4175774283580958,1878650541,1
4169169572552835,1878650541,1
4183925444200666,1878650541,1
4194789501570417,1878650541,1
4158022966309377,1878650541,1
4201733716367885,1878650541,1
4181377069002688,1878650541,1
4195511034235143,1878650541,1
4186597341210979,1878650541,1
4173657108154191,1878650541,1
4183417488973296,1878650541,1
4173309065043270,1878650541,1
4192603618066758,1878650541,1
4175960565567544,1878650541,1
4168711114583539,1878650541,1
4192109554779163,1878650541,1
4163420750741702,1878650541,1
4187775185702706,1878650541,1
4195029474562058,1878650541,1
4158549041044083,1878650541,1
4171333254434219,1878650541,1
4167108290307828,1878650541,1
4200770184318721,1878650541,1
4177269125599859,1878650541,1
4158562844987182,1878650541,1
4164705004138080,1878650541,1
4175051639540133,1878650541,1
4187786208680693,1878650541,1
4181217790917470,1878650541,1
4197555535528067,1878650541,1
4175052792602060,1878650541,1
4164484530361216,1878650541,1
4189220476192438,1878650541,1
4168805636709805,1878650541,1
4161782643783232,1878650541,1
4197500971204308,1878650541,1
4198610667328125,1878650541,1
4159838126736721,1878650541,1
4198769077865562,1878650541,1
4197556861236399,1878650541,1
4176542214923384,1878650541,1
4192957593252809,1878650541,1
4159479883367434,1878650541,1
4176071798959689,1878650541,1
4183948516488370,1878650541,1
4185481833326718,1878650541,1
4200406571189609,1878650541,1
4194276428781143,1878650541,1
4174726736309188,1878650541,1
4187393554300784,1878650541,1
4159275347728256,1878650541,1
4166492540884557,1878650541,1
4195514763098436,1878650541,1
4183893894716386,1878650541,1
4158498499751835,1878650541,1
4166369941084976,1878650541,1
4173295912212704,1878650541,1
4162507385757494,1878650541,1
4159871336980087,1878650541,1
4180148670205096,1878650541,1
4202944095933206,1878650541,1
4194080295132581,1878650541,1
4187792533605607,1878650541,1
4183309765908745,1878650541,1
4169084486606495,1878650541,1
4158707699387307,1878650541,1
4190679960136392,1878650541,1
4184108403813872,1878650541,1
4187778198150839,1878650541,1
4179789125954973,1878650541,1
4159618428513577,1878650541,1
4199846330443794,1878650541,1
4165969565562416,1878650541,1
4191024291617252,1878650541,1
4192833189035335,1878650541,1
4163985026087551,1878650541,1
4188280800974509,1878650541,1
4171964773464796,1878650541,1
4167101898237900,1878650541,1
4165294031587680,1878650541,1
4200839515524651,1878650541,1
4198185058776849,1878650541,1
4186317712233126,1878650541,1
4174663167310513,1878650541,1
4166184976501037,1878650541,1
4179408513945998,1878650541,1
4189345819055057,1878650541,1
4168899178547325,1878650541,1
4164206678614241,1878650541,1
4169165302583392,1878650541,1
4176326380472515,1878650541,1
4184626651526788,1878650541,1
