uid,page,ip,country,province,city,access_time
5175655487,display_detail,219.129.215.24,中国,广东,茂名,2018-02-16 15:03:08
5175655487,display_detail,14.106.177.53,中国,重庆,重庆,2018-02-16 15:03:14
2301823200,display_detail,110.73.6.135,中国,广西壮族自治区,防城港,2018-02-16 15:03:28
1687805082,display_detail,112.31.130.85,中国,安徽,阜阳,2018-02-16 15:03:37
2950979382,display_detail,112.31.130.85,中国,安徽,阜阳,2018-02-16 15:03:59
1878650541,display_detail,223.72.98.199,中国,北京,北京,2018-02-16 15:04:33
2151102885,display_detail,171.105.114.7,中国,广西壮族自治区,南宁,2018-02-16 15:05:01
6395424176,display_detail,112.31.130.85,中国,安徽,阜阳,2018-02-16 15:05:10
5909224739,display_detail,47.74.19.74,日本,东京都,东京,2018-02-16 15:05:19
1084402932,display_detail,223.104.63.135,中国,广东,深圳,2018-02-16 15:05:22
1305822153,display_detail,223.72.98.199,中国,北京,北京,2018-02-16 15:05:29
3792796635,display_detail,112.31.130.85,中国,安徽,阜阳,2018-02-16 15:05:36
1626912380,display_detail,223.104.101.102,中国,河北,唐山,2018-02-16 15:05:52
1348463244,display_detail,223.72.98.199,中国,北京,北京,2018-02-16 15:06:14
3896988743,display_detail,112.31.130.85,中国,安徽,阜阳,2018-02-16 15:06:27
1878650541,display_detail,113.57.183.158,中国,湖北,武汉,2018-02-16 15:06:32
5461366896,display_detail,223.104.63.19,中国,广东,深圳,2018-02-16 15:06:47
2363258672,display_detail,116.55.83.27,中国,云南,丽江,2018-02-16 15:06:47
1818713355,display_detail,223.104.101.102,中国,河北,唐山,2018-02-16 15:07:01
5095607554,display_detail,112.31.130.85,中国,安徽,阜阳,2018-02-16 15:07:04
5482930225,display_detail,61.158.149.5,中国,河南,郑州,2018-02-16 15:07:12
1220407074,display_detail,116.55.83.27,中国,云南,丽江,2018-02-16 15:07:15
6377919575,display_detail,117.25.45.31,中国,福建,福州,2018-02-16 15:07:21
1626912380,display_detail,223.104.97.7,中国,贵州,贵阳,2018-02-16 15:07:25
1878650541,display_detail,112.96.173.90,中国,广东,广州,2018-02-16 15:07:39
3173872645,display_detail,117.136.5.172,中国,辽宁,沈阳,2018-02-16 15:07:44
5175655487,display_detail,117.25.45.31,中国,福建,福州,2018-02-16 15:07:51
5088008316,display_detail,117.136.62.108,中国,四川,成都,2018-02-16 15:08:01
3299541723,display_detail,117.136.5.172,中国,辽宁,沈阳,2018-02-16 15:08:01
5992029562,display_detail,60.181.156.92,中国,浙江,温州,2018-02-16 15:08:04
5633924914,display_detail,61.158.146.151,中国,河南,平顶山,2018-02-16 15:08:07
5635761612,display_detail,223.104.63.135,中国,广东,深圳,2018-02-16 15:08:39
1854664990,display_detail,119.237.180.64,中国,香港,,2018-02-16 15:08:59
2931993313,display_detail,58.22.208.63,中国,福建,三明,2018-02-16 15:09:10
1697256600,display_detail,171.105.114.7,中国,广西壮族自治区,南宁,2018-02-16 15:09:30
6086950890,display_detail,27.190.102.40,中国,河北,唐山,2018-02-16 15:10:25
2950979382,display_detail,223.102.222.127,中国,辽宁,本溪,2018-02-16 15:10:30
5509235726,display_detail,202.175.167.100,中国,澳门,,2018-02-16 15:10:36
1964413821,display_detail,117.136.5.172,中国,辽宁,沈阳,2018-02-16 15:10:40
1348463244,display_detail,110.190.172.104,中国,四川,内江,2018-02-16 15:10:44
6377919575,display_detail,117.25.45.31,中国,福建,福州,2018-02-16 15:10:45
1878650541,display_detail,14.116.142.137,中国,广东,深圳,2018-02-16 15:10:46
5571911299,display_detail,106.39.191.227,中国,北京,北京,2018-02-16 15:10:47
1878650541,display_detail,110.190.172.104,中国,四川,内江,2018-02-16 15:10:49
6086950890,display_detail,106.39.190.103,中国,北京,北京,2018-02-16 15:10:51
5334114887,display_detail,117.136.62.108,中国,四川,成都,2018-02-16 15:11:02
3535147245,display_detail,223.104.131.146,中国,湖南,长沙,2018-02-16 15:11:07
2679795123,display_detail,39.162.15.239,中国,河南,郑州,2018-02-16 15:11:15
1348463244,display_detail,27.27.164.114,中国,湖北,襄樊,2018-02-16 15:11:23
5088008316,display_detail,117.136.30.207,中国,重庆,重庆,2018-02-16 15:11:30
2683468644,display_detail,47.74.19.74,日本,东京都,东京,2018-02-16 15:11:45
1220407074,display_detail,60.10.118.236,中国,河北,廊坊,2018-02-16 15:11:52
1626912380,display_detail,117.136.62.108,中国,四川,成都,2018-02-16 15:12:00
1348463244,display_detail,117.136.62.108,中国,四川,成都,2018-02-16 15:12:31
5175655487,display_detail,45.77.130.102,日本,东京都,东京,2018-02-16 15:12:45
5635761612,display_detail,223.8.179.165,中国,山西,晋城,2018-02-16 15:12:58
2285600341,display_detail,106.39.191.227,中国,北京,北京,2018-02-16 15:13:05
3631255211,display_detail,223.72.98.199,中国,北京,北京,2018-02-16 15:13:35
2552646360,display_detail,112.10.137.19,中国,浙江,杭州,2018-02-16 15:13:40
5968607449,display_detail,218.205.55.30,中国,浙江,杭州,2018-02-16 15:13:50
3299541723,display_detail,223.104.21.110,中国,湖南,长沙,2018-02-16 15:13:58
1878650541,display_detail,112.10.137.19,中国,浙江,杭州,2018-02-16 15:14:02
1697256600,display_detail,106.119.64.104,中国,河北,邯郸,2018-02-16 15:14:21
1626912380,display_detail,27.27.164.114,中国,湖北,襄樊,2018-02-16 15:14:22
1348463244,display_detail,45.76.49.112,日本,东京都,东京,2018-02-16 15:14:35
2151102885,display_detail,171.105.114.7,中国,广西壮族自治区,南宁,2018-02-16 15:14:42
6377919575,display_detail,117.25.45.31,中国,福建,福州,2018-02-16 15:14:42
1964413821,display_detail,185.225.12.130,中国,香港,,2018-02-16 15:14:51
6052051357,display_detail,218.205.55.30,中国,浙江,杭州,2018-02-16 15:14:51
1348463244,display_detail,121.56.28.207,中国,内蒙古自治区,呼和浩特,2018-02-16 15:14:54
6377919575,display_detail,117.25.45.31,中国,福建,福州,2018-02-16 15:14:54
5175655487,display_detail,47.74.19.74,日本,东京都,东京,2018-02-16 15:15:05
1953804403,display_detail,113.83.102.37,中国,广东,惠州,2018-02-16 15:15:49
1878650541,display_detail,185.225.12.130,中国,香港,,2018-02-16 15:15:51
1953804403,display_detail,202.175.167.100,中国,澳门,,2018-02-16 15:15:54
1626912380,display_detail,223.104.21.110,中国,湖南,长沙,2018-02-16 15:15:59
2881730202,display_detail,47.74.19.74,日本,东京都,东京,2018-02-16 15:16:02
1626912380,display_detail,121.35.187.95,中国,广东,深圳,2018-02-16 15:16:35
2700962211,display_detail,116.55.83.27,中国,云南,丽江,2018-02-16 15:16:55
5175655487,display_detail,183.208.37.1,中国,江苏,苏州,2018-02-16 15:17:05
1220407074,display_detail,183.226.108.49,中国,重庆,重庆,2018-02-16 15:17:22
1626912380,display_detail,101.226.33.228,中国,上海,上海,2018-02-16 15:17:35
3234697681,display_detail,210.140.220.243,日本,福岛县,白河市,2018-02-16 15:17:49
5088008316,display_detail,180.145.115.85,日本,大阪府,大阪,2018-02-16 15:17:50
3264672744,display_detail,117.136.71.237,中国,云南,玉溪,2018-02-16 15:17:57
3234697681,display_detail,124.161.223.172,中国,四川,遂宁,2018-02-16 15:17:58
2151102885,display_detail,112.10.137.19,中国,浙江,杭州,2018-02-16 15:18:20
2683468644,display_detail,124.161.223.172,中国,四川,遂宁,2018-02-16 15:18:23
2301823200,display_detail,180.156.10.16,中国,上海,上海,2018-02-16 15:18:45
1220407074,display_detail,183.208.37.1,中国,江苏,苏州,2018-02-16 15:18:54
1907068542,display_detail,116.199.101.186,中国,广东,广州,2018-02-16 15:18:56
2580749342,display_detail,223.104.131.146,中国,湖南,长沙,2018-02-16 15:19:01
1964413821,display_detail,116.199.101.186,中国,广东,广州,2018-02-16 15:19:24
3770002457,display_detail,119.39.95.182,中国,湖南,长沙,2018-02-16 15:19:46
5175655487,display_detail,112.5.242.134,中国,福建,,2018-02-16 15:19:50
1953804403,display_detail,112.64.68.176,中国,上海,上海,2018-02-16 15:20:02
5620446827,display_detail,185.225.12.130,中国,香港,,2018-02-16 15:20:05
3940109705,display_detail,101.93.28.71,中国,上海,上海,2018-02-16 15:20:28
2785667750,display_detail,223.67.187.45,中国,江苏,盐城,2018-02-16 15:20:34
2785667750,display_detail,101.226.33.238,中国,上海,上海,2018-02-16 15:20:44
1907068542,display_detail,112.64.68.176,中国,上海,上海,2018-02-16 15:20:58
5504072210,display_detail,223.104.238.94,中国,云南,,2018-02-16 15:20:59
5587914091,display_detail,171.105.150.143,中国,广西壮族自治区,南宁,2018-02-16 15:21:20
5529651205,display_detail,171.105.150.143,中国,广西壮族自治区,南宁,2018-02-16 15:21:23
5849011248,display_detail,171.105.150.143,中国,广西壮族自治区,南宁,2018-02-16 15:21:25
1818713355,display_detail,223.67.187.45,中国,江苏,盐城,2018-02-16 15:21:25
3741113024,display_detail,218.26.54.69,中国,山西,太原,2018-02-16 15:21:27
3741113024,display_detail,218.26.54.69,中国,山西,太原,2018-02-16 15:21:30
3063988710,display_detail,119.39.95.182,中国,湖南,长沙,2018-02-16 15:21:30
2785667750,display_detail,101.226.33.205,中国,上海,上海,2018-02-16 15:21:34
1220407074,display_detail,101.93.28.71,中国,上海,上海,2018-02-16 15:21:34
5461366896,display_detail,119.39.95.182,中国,湖南,长沙,2018-02-16 15:21:56
1935309284,display_detail,45.77.130.102,日本,东京都,东京,2018-02-16 15:22:02
2301823200,display_detail,114.221.241.162,中国,江苏,南京,2018-02-16 15:22:11
1818713355,display_detail,101.226.66.191,中国,上海,上海,2018-02-16 15:22:15
1220407074,display_detail,175.168.106.84,中国,辽宁,沈阳,2018-02-16 15:22:19
1220407074,display_detail,183.25.166.239,中国,广东,惠州,2018-02-16 15:22:23
3741113024,display_detail,112.65.193.15,中国,上海,上海,2018-02-16 15:22:26
3607997425,display_detail,185.225.12.130,中国,香港,,2018-02-16 15:22:28
3741113024,display_detail,218.26.54.69,中国,山西,太原,2018-02-16 15:22:29
3741113024,display_detail,58.246.221.74,中国,上海,上海,2018-02-16 15:22:31
1697256600,display_detail,223.67.187.45,中国,江苏,盐城,2018-02-16 15:22:34
1220407074,display_detail,218.255.101.103,中国,香港,,2018-02-16 15:22:44
5594511989,display_detail,119.39.95.182,中国,湖南,长沙,2018-02-16 15:22:54
5635505399,display_detail,60.10.118.236,中国,河北,廊坊,2018-02-16 15:22:55
2422616452,display_detail,45.76.49.112,日本,东京都,东京,2018-02-16 15:22:56
5635505399,display_detail,60.10.118.236,中国,河北,廊坊,2018-02-16 15:22:56
2151102885,display_detail,101.93.28.71,中国,上海,上海,2018-02-16 15:23:02
3173872645,display_detail,185.225.12.130,中国,香港,,2018-02-16 15:23:04
5937919325,display_detail,101.93.28.71,中国,上海,上海,2018-02-16 15:23:09
2301823200,display_detail,61.151.178.171,中国,上海,上海,2018-02-16 15:23:11
3283966531,display_detail,112.4.154.111,中国,江苏,南京,2018-02-16 15:23:18
1084402932,display_detail,117.44.91.27,中国,江西,赣州,2018-02-16 15:23:40
2338655100,display_detail,223.104.131.146,中国,湖南,长沙,2018-02-16 15:24:01
2950979382,display_detail,185.225.12.130,中国,香港,,2018-02-16 15:24:11
2903422125,display_detail,36.63.75.80,中国,安徽,安庆,2018-02-16 15:24:18
1220407074,display_detail,60.7.244.198,中国,河北,秦皇岛,2018-02-16 15:24:19
5611150947,display_detail,117.136.63.100,中国,四川,成都,2018-02-16 15:24:25
5686812091,display_detail,223.104.24.13,中国,贵州,贵阳,2018-02-16 15:24:44
1964413821,display_detail,116.199.101.186,中国,广东,广州,2018-02-16 15:24:50
3196310145,display_detail,185.225.12.130,中国,香港,,2018-02-16 15:24:57
3819197165,display_detail,45.77.130.102,日本,东京都,东京,2018-02-16 15:24:58
1964413821,display_detail,116.199.101.186,中国,广东,广州,2018-02-16 15:24:59
1953804403,display_detail,120.193.196.93,中国,内蒙古自治区,包头,2018-02-16 15:25:07
2903422125,display_detail,101.226.33.205,中国,上海,上海,2018-02-16 15:25:18
5571911299,display_detail,185.225.12.130,中国,香港,,2018-02-16 15:25:20
1964413821,display_detail,223.104.24.13,中国,贵州,贵阳,2018-02-16 15:25:21
1878650541,display_detail,119.48.168.148,中国,吉林,长春,2018-02-16 15:25:23
5175655487,display_detail,36.63.75.80,中国,安徽,安庆,2018-02-16 15:25:33
3173872645,display_detail,223.75.1.171,中国,湖北,武汉,2018-02-16 15:25:36
2297560864,display_detail,123.186.27.64,中国,辽宁,鞍山,2018-02-16 15:25:47
5160148264,display_detail,223.104.131.146,中国,湖南,长沙,2018-02-16 15:25:50
5571911299,display_detail,36.63.75.80,中国,安徽,安庆,2018-02-16 15:25:51
5175655487,display_detail,59.63.206.213,中国,江西,南昌,2018-02-16 15:26:08
